East Germany (GDR),Eastern Europe,38,DEU
Belarus,Eastern Europe,13,BLR
Senegal,Sub-Saharan Africa,118,SEN
Uzbekistan,Central Asia,21,UZB
Angola,Sub-Saharan Africa,499,AGO
Suriname,South America,66,SUR
United Kingdom,Western Europe,5235,GBR
People's Republic of the Congo,Sub-Saharan Africa,4,COG
Kenya,Sub-Saharan Africa,683,KEN
Azerbaijan,Central Asia,49,AZE
United States,North America,2836,USA
India,South Asia,11960,IND
Slovenia,Eastern Europe,6,SVN
Laos,Southeast Asia,27,LAO
Sweden,Western Europe,132,SWE
Swaziland,Sub-Saharan Africa,16,NA
Ghana,Sub-Saharan Africa,19,GHA
Brunei,Southeast Asia,6,NA
Cyprus,Western Europe,132,CYP
Mozambique,Sub-Saharan Africa,363,MOZ
Guinea-Bissau,Sub-Saharan Africa,9,GNB
Yugoslavia,Eastern Europe,203,NA
Afghanistan,South Asia,12731,AFG
Norway,Western Europe,19,NOR
Gambia,Sub-Saharan Africa,3,GMB
Sudan,Sub-Saharan Africa,967,SDN
New Zealand,Australasia & Oceania,20,NZL
Liberia,Sub-Saharan Africa,34,LBR
Burkina Faso,Sub-Saharan Africa,52,BFA
Jordan,Middle East & North Africa,113,JOR
Algeria,Middle East & North Africa,2743,DZA
Ecuador,South America,220,ECU
Equatorial Guinea,Sub-Saharan Africa,2,GNQ
Rwanda,Sub-Saharan Africa,159,RWA
South Sudan,Sub-Saharan Africa,225,SSD
Mauritania,Sub-Saharan Africa,18,MRT
Guatemala,Central America & Caribbean,2050,GTM
Mali,Sub-Saharan Africa,566,MLI
Ukraine,Eastern Europe,1709,UKR
Nicaragua,Central America & Caribbean,1970,NIC
Indonesia,Southeast Asia,761,IDN
Austria,Western Europe,115,AUT
Western Sahara,Middle East & North Africa,5,NA
Greece,Western Europe,1275,GRC
Wallis and Futuna,Australasia & Oceania,1,NA
Montenegro,Eastern Europe,5,MNE
Singapore,Southeast Asia,7,SGP
South Korea,East Asia,38,NA
West Bank and Gaza Strip,Middle East & North Africa,2227,NA
Paraguay,South America,114,PRY
Zimbabwe,Sub-Saharan Africa,101,ZWE
Pakistan,South Asia,14368,PAK
Egypt,Middle East & North Africa,2479,EGY
Netherlands,Western Europe,130,NLD
Ireland,Western Europe,307,IRL
United Arab Emirates,Middle East & North Africa,22,ARE
Fiji,Australasia & Oceania,17,FJI
Japan,East Asia,402,JPN
Israel,Middle East & North Africa,2183,ISR
Libya,Middle East & North Africa,2249,LBY
Belgium,Western Europe,154,BEL
Malaysia,Southeast Asia,99,MYS
Georgia,Central Asia,217,GEO
Cambodia,Southeast Asia,259,KHM
Spain,Western Europe,3249,ESP
Poland,Eastern Europe,39,POL
South Vietnam,Southeast Asia,1,NA
Martinique,Central America & Caribbean,12,NA
Bolivia,South America,314,BOL
Bahamas,Central America & Caribbean,5,BHS
Qatar,Middle East & North Africa,7,QAT
Trinidad and Tobago,Central America & Caribbean,22,TTO
Djibouti,Sub-Saharan Africa,22,DJI
Syria,Middle East & North Africa,2201,SYR
New Hebrides,Australasia & Oceania,1,NA
Venezuela,South America,293,VEN
Denmark,Western Europe,41,DNK
Benin,Sub-Saharan Africa,8,BEN
Slovak Republic,Eastern Europe,18,NA
Vatican City,Western Europe,1,NA
Kuwait,Middle East & North Africa,76,KWT
Finland,Western Europe,20,FIN
Thailand,Southeast Asia,3849,THA
Papua New Guinea,Australasia & Oceania,89,PNG
New Caledonia,Australasia & Oceania,31,NA
Bahrain,Middle East & North Africa,207,BHR
Dominica,Central America & Caribbean,3,DMA
Grenada,Central America & Caribbean,5,GRD
Kazakhstan,Central Asia,27,KAZ
Czech Republic,Eastern Europe,32,NA
St. Lucia,Central America & Caribbean,1,NA
Guinea,Sub-Saharan Africa,25,GIN
Philippines,Southeast Asia,6908,PHL
Brazil,South America,273,BRA
Australia,Australasia & Oceania,114,AUS
Luxembourg,Western Europe,16,LUX
Serbia-Montenegro,Eastern Europe,11,NA
Honduras,Central America & Caribbean,323,HND
Macedonia,Eastern Europe,118,NA
Russia,Eastern Europe,2194,RUS
Croatia,Eastern Europe,57,HRV
El Salvador,Central America & Caribbean,5320,SLV
Belize,Central America & Caribbean,8,BLZ
Yemen,Middle East & North Africa,3347,YEM
Armenia,Central Asia,24,ARM
Uruguay,South America,82,URY
Iraq,Middle East & North Africa,24636,IRQ
Taiwan,East Asia,50,NA
Tanzania,Sub-Saharan Africa,59,TZA
Chile,South America,2365,CHL
Ethiopia,Sub-Saharan Africa,190,ETH
Vanuatu,Australasia & Oceania,2,VUT
Cuba,Central America & Caribbean,30,CUB
International,Middle East & North Africa,1,NA
Kyrgyzstan,Central Asia,35,KGZ
Colombia,South America,8306,COL
Guadeloupe,Central America & Caribbean,56,NA
Haiti,Central America & Caribbean,213,HTI
Serbia,Eastern Europe,12,SRB
Central African Republic,Sub-Saharan Africa,283,CAF
South Africa,Sub-Saharan Africa,2016,ZAF
Tajikistan,Central Asia,188,TJK
Turkmenistan,Central Asia,2,TKM
Bhutan,South Asia,6,BTN
Uganda,Sub-Saharan Africa,394,UGA
Peru,South America,6096,PER
Rhodesia,Sub-Saharan Africa,83,NA
Germany,Western Europe,735,DEU
North Yemen,Middle East & North Africa,6,NA
Sierra Leone,Sub-Saharan Africa,101,SLE
Zambia,Sub-Saharan Africa,62,ZMB
Chad,Sub-Saharan Africa,91,TCD
Niger,Sub-Saharan Africa,154,NER
Democratic Republic of the Congo,Sub-Saharan Africa,775,COD
Italy,Western Europe,1565,ITA
Costa Rica,Central America & Caribbean,67,CRI
Soviet Union,Eastern Europe,78,NA
Latvia,Eastern Europe,17,LVA
Macau,East Asia,33,NA
Lebanon,Middle East & North Africa,2478,LBN
Czechoslovakia,Eastern Europe,10,NA
Barbados,Central America & Caribbean,3,BRB
France,Western Europe,2693,FRA
Gabon,Sub-Saharan Africa,8,GAB
Malawi,Sub-Saharan Africa,5,MWI
Argentina,South America,815,ARG
Nigeria,Sub-Saharan Africa,3907,NGA
China,East Asia,252,CHN
Saudi Arabia,Middle East & North Africa,371,SAU
Antigua and Barbuda,Central America & Caribbean,1,ATG
Jamaica,Central America & Caribbean,36,JAM
Kosovo,Eastern Europe,196,NA
Albania,Eastern Europe,80,ALB
Bulgaria,Eastern Europe,52,BGR
Eritrea,Sub-Saharan Africa,10,ERI
Mexico,North America,524,MEX
Ivory Coast,Sub-Saharan Africa,74,NA
Turkey,Middle East & North Africa,4292,TUR
Panama,Central America & Caribbean,127,PAN
Portugal,Western Europe,140,PRT
Cameroon,Sub-Saharan Africa,332,CMR
St. Kitts and Nevis,Central America & Caribbean,2,NA
Nepal,South Asia,1215,NPL
Iceland,Western Europe,4,ISL
North Korea,East Asia,1,NA
Solomon Islands,Australasia & Oceania,4,SLB
Mauritius,South Asia,2,MUS
West Germany (FRG),Western Europe,541,DEU
Botswana,Sub-Saharan Africa,10,BWA
Seychelles,Sub-Saharan Africa,2,SYC
Andorra,Western Europe,1,AND
Myanmar,Southeast Asia,546,MMR
Sri Lanka,South Asia,3022,LKA
Iran,Middle East & North Africa,684,IRN
Togo,Sub-Saharan Africa,48,TGO
Lithuania,Eastern Europe,8,LTU
Somalia,Sub-Saharan Africa,4142,SOM
Guyana,South America,26,GUY
Romania,Eastern Europe,6,ROU
Estonia,Eastern Europe,16,EST
Switzerland,Western Europe,111,CHE
Hungary,Eastern Europe,46,HUN
French Guiana,South America,7,NA
Bosnia-Herzegovina,Eastern Europe,159,NA
Namibia,Sub-Saharan Africa,151,NAM
Burundi,Sub-Saharan Africa,613,BDI
Malta,Western Europe,23,MLT
Lesotho,Sub-Saharan Africa,29,LSO
Morocco,Middle East & North Africa,36,MAR
Maldives,South Asia,22,MDV
Bangladesh,South Asia,1648,BGD
French Polynesia,Australasia & Oceania,3,NA
Moldova,Eastern Europe,21,NA
Vietnam,Southeast Asia,12,VNM
Comoros,Sub-Saharan Africa,5,COM
Falkland Islands,South America,1,NA
Canada,North America,96,CAN
Republic of the Congo,Sub-Saharan Africa,36,NA
South Yemen,Middle East & North Africa,2,NA
Hong Kong,East Asia,26,NA
East Timor,Southeast Asia,10,NA
Tunisia,Middle East & North Africa,109,TUN
Madagascar,Sub-Saharan Africa,27,MDG
Zaire,Sub-Saharan Africa,50,NA
Dominican Republic,Central America & Caribbean,90,DOM
